name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Mount Cabituroan,5.85333,125.53806,Philippines,Davao Region,1192,0,mountain,1721552
Mount Oriod,14.87,121.22167,Philippines,Central Luzon,1188,0,mountain,1697025
Mount Wayan,17.8777,121.1753,Philippines,Cordillera,1185,0,mountain,1679628
Mount Palanan,17.05304,122.25704,Philippines,Cagayan Valley,1184,0,mountain,1696303
Mount Burburan,18.40479,120.87246,Philippines,Ilocos,1182,0,mountain,1722471
Mount Katgipsipan,16.0283,121.3958,Philippines,Cagayan Valley,1182,0,mountain,1709106
Mount Kapok,6.58964,126.18478,Philippines,Davao Region,1179,0,mountain,1709216
Mount Talalang,16.6052,120.5924,Philippines,Cordillera,1177,0,mountain,1684080
Mount Bantolinao,11.12143,122.32191,Philippines,Western Visayas,1176,0,mountain,7412502
Mount Lunas,10.7993,124.8174,Philippines,Eastern Visayas,1175,0,mountain,1705080
Mount Tipolog,7.12833,125.33611,Philippines,Davao Region,1174,0,mountain,1681721
Mount Olong Amo,15.9608,121.1566,Philippines,Central Luzon,1174,0,mountain,1697165
Mount Lauaan,11.52028,124.53722,Philippines,Eastern Visayas,1172,0,mountain,1707099
Mount Legaspi,9.42917,125.81944,Philippines,Caraga,1170,0,mountain,1706886
Mount Tabaan,10.7689,124.8297,Philippines,Eastern Visayas,1170,0,mountain,1685124
Mount Tallulah,12.7913,120.9992,Philippines,Mimaropa,1162,0,mountain,1683809
Mount Kibuwa,8.26111,125.05306,Philippines,Northern Mindanao,1159,0,mountain,1708832
Mount Tambara,10.81845,122.2416,Philippines,Western Visayas,1159,0,mountain,1683613
Mount Malindig,13.2415,122.0136,Philippines,Mimaropa,1157,0,mountain,1700859
Mount Tirad,17.13333,120.63333,Philippines,Ilocos,1154,0,mountain,1681704
Mount Tangali,6.47694,125.40806,Philippines,Davao Region,1154,0,mountain,1683225
Mount Muju,17.8487,121.0672,Philippines,Cordillera,1154,0,mountain,1699141
Mount Talipanan,13.4642,120.8909,Philippines,Mimaropa,1152,0,mountain,1683909
Mount Cunig,16.53578,121.08954,Philippines,Cagayan Valley,1150,0,mountain,1716472
Mount Ponopen,16.53018,120.79574,Philippines,Cordillera,1147,0,mountain,7427159
Mount Tagoan,7.78583,124.79722,Philippines,Northern Mindanao,1144,0,mountain,1995696
Mount Calauag,17.7977,121.203,Philippines,Cordillera,1143,0,mountain,1720471
Mount Bagsak,5.88194,125.57361,Philippines,Davao Region,1142,0,mountain,1958798
Mount Bulayan,16.79626,121.20114,Philippines,Cordillera,1135,0,mountain,1724998
Saddle Peak,5.72583,125.38111,Philippines,Soccsksargen,1133,0,mountain,1691202
Mount Cagua,18.21528,122.12028,Philippines,Cagayan Valley,1132,0,mountain,1720937
Mount Batangbang,16.4941,120.761,Philippines,Cordillera,1130,0,mountain,7638464
Tinungkop Mountain,6.02361,124.75583,Philippines,Soccsksargen,1128,0,mountain,1681764
Mount Munong,14.86028,121.31583,Philippines,Calabarzon,1127,0,mountain,1699091
Mount Corumi,9.0601,117.9058,Philippines,Mimaropa,1125,0,mountain,1716783
Mount Tinagan,10.8413,124.7975,Philippines,Eastern Visayas,1125,0,mountain,1681994
Mount Kigangi,6.05667,125.63361,Philippines,Davao Region,1116,0,mountain,1708819
Mount Peel,9.99611,118.71417,Philippines,Mimaropa,1114,0,mountain,1694112
Mount Pundillo Ni Luna,15.1765,120.1533,Philippines,Central Luzon,1110,0,mountain,1692466
Mount Binuang,14.77509,121.55705,Philippines,Calabarzon,1095,0,mountain,1724880
Mount Engañaso,12.8691,123.2265,Philippines,Bicol Region,1093,0,mountain,1713873
Mount Quinali,17.0934,120.761,Philippines,Ilocos,1090,0,mountain,1692081
Mount Malepunyo,13.9663,121.2356,Philippines,Calabarzon,1077,0,mountain,1702863
Alto Peak,11.10611,124.70972,Philippines,Eastern Visayas,1075,0,mountain,1731267
Divilacan Peak,17.21673,122.27604,Philippines,Cagayan Valley,1075,0,mountain,1714589
Mount Kolokol,7.83722,124.9275,Philippines,Northern Mindanao,1074,0,mountain,1998288
Mount Talemo,7.66694,125.3225,Philippines,Northern Mindanao,1072,0,mountain,1958712
Pointed Peak,14.85709,120.12583,Philippines,Central Luzon,1071,0,peak,1693163
Mount Cabignayan,13.4553,120.6735,Philippines,Mimaropa,1063,0,mountain,1721618
Mount Cacamtanan,17.1038,120.8348,Philippines,Cordillera,1061,0,mountain,7633935
Mount Bita,7.50306,124.29306,Philippines,Autonomous Region in Muslim Mindanao,1057,0,mountain,1724749
Mount Balitog,15.02563,120.32931,Philippines,Central Luzon,1057,0,mountain,1728000
Lantawan Peak,10.8329,123.2361,Philippines,Western Visayas,1054,0,mountain,1707430
Mount Capugan,16.79637,121.08834,Philippines,Cordillera,1051,0,mountain,7429479
Mount Magnas,18.4473,120.9589,Philippines,Ilocos,1050,0,mountain,1703825
Mount Camalobagoan,11.61444,124.52833,Philippines,Eastern Visayas,1048,0,mountain,1719927
Sharp Peak,12.7815,124.0642,Philippines,Bicol Region,1047,0,mountain,1686914
Mount Santo Domingo,16.74797,121.12084,Philippines,Cordillera,1047,0,mountain,1687710
Mount Gumansan,11.6016,124.4894,Philippines,Eastern Visayas,1045,0,mountain,1712148
Mount Lanat,15.6394,120.0419,Philippines,Central Luzon,1044,0,mountain,1707658
Mount Gap,6.87083,125.12167,Philippines,Soccsksargen,1038,0,mountain,1713228
Mount Puerai,8.03255,124.11827,Philippines,Northern Mindanao,1036,0,mountain,1692697
Mount Moises,17.21193,122.12064,Philippines,Cagayan Valley,1036,0,mountain,1699420
Mount Maubanban,14.89769,120.10693,Philippines,Central Luzon,1035,0,mountain,1700175
Saddle Peak,13.77,123.6601,Philippines,Bicol Region,1033,0,mountain,1691201
